match_id,player_id,full_history_match_sequence,full_history_opponent_id,full_history_focal_side,p_focal_current_convention,in_full_history,step33_match_sequence,step33_opponent_id,step33_focal_side,in_step33,step34_match_sequence,step34_opponent_id,step34_focal_side,p_focal_Glicko_low_fixed,in_step34,match_sequence_agrees,opponent_id_agrees,focal_side_agrees,probability_difference_full_minus_step34,all_sources_agree
451624,5074,451620,5073,B,0.912463993811378,True,451620,5073,B,True,451620,5073,B,0.912463993811,True,True,True,True,3.780309398848658e-13,True
451677,5076,451673,4525,B,0.8116142391607231,True,451673,4525,B,True,451673,4525,B,0.811614239161,True,True,True,True,-2.7688962234151404e-13,True
451723,5111,451698,4629,B,0.8613882252548991,True,451698,4629,B,True,451698,4629,B,0.861388225255,True,True,True,True,-1.0091927293842673e-13,True
451945,5077,451949,1412,B,0.6922651194030709,True,451949,1412,B,True,451949,1412,B,0.692265119403,True,True,True,True,7.09432512735475e-14,True
451965,5097,451969,4882,B,0.8075243643383186,True,451969,4882,B,True,451969,4882,B,0.807524364338,True,True,True,True,3.1863400806741993e-13,True
452199,5105,452195,5011,B,0.8297684028214889,True,452195,5011,B,True,452195,5011,B,0.829768402821,True,True,True,True,4.889422200449189e-13,True
452281,5079,452307,4791,B,0.849304171784621,True,452307,4791,B,True,452307,4791,B,0.849304171785,True,True,True,True,-3.7891911830456593e-13,True
452596,5080,452528,3517,B,0.4828472715307729,True,452528,3517,B,True,452528,3517,B,0.482847271531,True,True,True,True,-2.2709611968707577e-13,True
452607,5081,452539,3158,B,0.2887275327521266,True,452539,3158,B,True,452539,3158,B,0.288727532752,True,True,True,True,1.2656542480726785e-13,True
452812,5085,452797,4518,B,0.8254316406472622,True,452797,4518,B,True,452797,4518,B,0.825431640647,True,True,True,True,2.6212365611399946e-13,True
453152,5091,453148,5002,B,0.8213475817615752,True,453148,5002,B,True,453148,5002,B,0.821347581762,True,True,True,True,-4.247713292215849e-13,True
453153,5090,453149,5049,B,0.8490251870161809,True,453149,5049,B,True,453149,5049,B,0.849025187016,True,True,True,True,1.80855330711438e-13,True
453207,5095,453205,4819,B,0.728999135605918,True,453205,4819,B,True,453205,4819,B,0.728999135606,True,True,True,True,-8.204548151979907e-14,True
453417,5094,453413,1313,B,0.8340620004519975,True,453413,1313,B,True,453413,1313,B,0.834062000452,True,True,True,True,-2.4424906541753444e-15,True
453734,5096,453730,5070,B,0.9135615154304313,True,453730,5070,B,True,453730,5070,B,0.91356151543,True,True,True,True,4.313216450668733e-13,True
454163,5101,454099,4731,B,0.664629871303339,True,454099,4731,B,True,454099,4731,B,0.664629871303,True,True,True,True,3.389510894180603e-13,True
454339,5102,454333,951,B,0.5955826779318729,True,454333,951,B,True,454333,951,B,0.595582677932,True,True,True,True,-1.2712053631958042e-13,True
454653,5127,454473,5103,B,0.8039306901056117,True,454473,5103,B,True,454473,5103,B,0.803930690106,True,True,True,True,-3.8835601401387976e-13,True
454667,5165,454487,5107,B,0.9620947130921204,True,454487,5107,B,True,454487,5107,B,0.962094713092,True,True,True,True,1.2034817586936697e-13,True
454749,5109,454745,4575,B,0.29860054349103216,True,454745,4575,B,True,454745,4575,B,0.298600543491,True,True,True,True,3.214095656289828e-14,True
454755,5108,454751,4779,B,0.31083878281907384,True,454751,4779,B,True,454751,4779,B,0.310838782819,True,True,True,True,7.382983113757291e-14,True
454908,5128,454826,4087,B,0.7812066498965954,True,454826,4087,B,True,454826,4087,B,0.781206649897,True,True,True,True,-4.0456527017340704e-13,True
454909,5138,454827,5031,B,0.9217605710273648,True,454827,5031,B,True,454827,5031,B,0.921760571027,True,True,True,True,3.647082635893639e-13,True
454911,5139,454829,4586,B,0.846258478312319,True,454829,4586,B,True,454829,4586,B,0.846258478312,True,True,True,True,3.1907809727727e-13,True
455236,5110,455243,495,B,0.3239546013353404,True,455243,495,B,True,455243,495,B,0.323954601335,True,True,True,True,3.40394379350073e-13,True
455776,5114,455772,5085,B,0.9628273416375285,True,455772,5085,B,True,455772,5085,B,0.962827341637,True,True,True,True,5.284661597215745e-13,True
455861,5116,455857,5093,B,0.7002302152322016,True,455857,5093,B,True,455857,5093,B,0.700230215232,True,True,True,True,2.0161650127192843e-13,True
455867,5115,455863,5011,B,0.6227011655314801,True,455863,5011,B,True,455863,5011,B,0.622701165531,True,True,True,True,4.801714581503802e-13,True
456073,5133,456069,4564,B,0.8170103260090278,True,456069,4564,B,True,456069,4564,B,0.817010326009,True,True,True,True,2.7755575615628914e-14,True
456088,5117,456084,4797,B,0.9114561033029265,True,456084,4797,B,True,456084,4797,B,0.911456103303,True,True,True,True,-7.349676423018536e-14,True
456376,5142,456352,5118,B,0.6113282821183661,True,456352,5118,B,True,456352,5118,B,0.611328282118,True,True,True,True,3.660405312189141e-13,True
